model,acc,auc,logloss
lgb,0.8084663390151826,0.901983005453852,0.38544206555160204
cat,0.8084657434584646,0.8984818318795481,0.40086532429009586
xgb,0.8050149290187711,0.8986304079150292,0.39392128572285995
hist_gb,0.8045554768626612,0.8996919478413345,0.3890660306865434
extra_trees,0.8021391841460579,0.890957838080038,0.4136151897262021
