seed,fold,model,acc,auc,logloss
42,1,extra_trees,0.8142610695802185,0.9001703730747048,0.39810143438669077
42,1,hist_gb,0.8096607245543416,0.9032180404979973,0.3834925447779951
42,1,xgb,0.8033352501437608,0.9047008682677504,0.37947606435908954
42,1,lgb,0.8033352501437608,0.9023225236379415,0.38580534459004295
42,1,cat,0.8142610695802185,0.908589818886014,0.37680307743560426
42,2,extra_trees,0.8021851638872916,0.8911741985322519,0.41421099664809985
42,2,hist_gb,0.8056354226566993,0.9005460404133399,0.38929772267913376
42,2,xgb,0.8033352501437608,0.8994507849330942,0.3892307249100597
42,2,lgb,0.8108108108108109,0.9016029354963306,0.3885418526764519
42,2,cat,0.8108108108108109,0.9010877156780267,0.39143615955786565
42,3,extra_trees,0.8027602070155262,0.8920657470753504,0.4129813212169126
42,3,hist_gb,0.8079355951696378,0.9005010661544892,0.38956060374611806
42,3,xgb,0.8136860264519838,0.9022100879908147,0.385725276839173
42,3,lgb,0.8159861989649224,0.9028344365254475,0.3852441490600094
42,3,cat,0.8136860264519838,0.9029600998957655,0.39066565736923015
42,4,extra_trees,0.810126582278481,0.8979149147492136,0.40173536448277836
42,4,hist_gb,0.8204833141542003,0.9081238205595099,0.3741567271562469
42,4,xgb,0.8130034522439585,0.9087965568614468,0.37357820255918184
42,4,lgb,0.8176064441887226,0.908600562820725,0.3735694298152026
42,4,cat,0.8245109321058688,0.912573414997517,0.3730475534502062
42,5,extra_trees,0.7899884925201381,0.8869432213209734,0.4195876353082663
42,5,hist_gb,0.8014959723820483,0.8985591789438834,0.3959441919519719
42,5,xgb,0.8084004602991944,0.9004310544611819,0.3909688996244383
42,5,lgb,0.8060989643268124,0.8964515808640954,0.40047245292622613
42,5,cat,0.8095512082853855,0.898965734149975,0.39544043150071123
2024,1,extra_trees,0.8154111558366878,0.8998158700931762,0.40416515764016303
2024,1,hist_gb,0.8205865439907993,0.90583580691757,0.3784561765440862
2024,1,xgb,0.8217366302472685,0.9074912564749705,0.37861470673567504
2024,1,lgb,0.8171362852213916,0.9061598861357587,0.38090054744779356
2024,1,cat,0.824036802760207,0.9098570347677476,0.3792903634483282
2024,2,extra_trees,0.79700977573318,0.8888302459827406,0.4162167569446038
2024,2,hist_gb,0.7981598619896493,0.8996531690979223,0.3897313069748668
2024,2,xgb,0.8016101207590569,0.8983912443054651,0.39100678903364244
2024,2,lgb,0.79700977573318,0.8998767176198563,0.3893323424960001
2024,2,cat,0.7941345600920069,0.901982571151923,0.3895577484748776
2024,3,extra_trees,0.8067855089131685,0.893699370889485,0.40683063932285535
2024,3,hist_gb,0.8073605520414031,0.9018873315449453,0.38536326872967364
2024,3,xgb,0.8027602070155262,0.9014891770768848,0.384690860284061
2024,3,lgb,0.8090856814261069,0.9027127414720868,0.3855146317723116
2024,3,cat,0.8113858539390454,0.9023145870040267,0.387292801130737
2024,4,extra_trees,0.8009205983889528,0.8918205595100148,0.41271040625950756
2024,4,hist_gb,0.8026467203682394,0.8960622413507696,0.40174041260993076
2024,4,xgb,0.8037974683544303,0.8974527396126468,0.39574536875369243
2024,4,lgb,0.807825086306099,0.894737957291839,0.40662512743001006
2024,4,cat,0.8095512082853855,0.9004111902002979,0.39148150136021853
2024,5,extra_trees,0.807825086306099,0.8934520774706174,0.4048350826902467
2024,5,hist_gb,0.8164556962025317,0.9046581691772886,0.3792937063478093
2024,5,xgb,0.812428078250863,0.9062857142857144,0.3767966132408952
2024,5,lgb,0.8147295742232451,0.903600066214203,0.383777767450538
2024,5,cat,0.8233601841196778,0.9083105446118191,0.37653356099499435
